SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR15836528	PRJNA761539	Burned	379	379	4.728233617	0.796329227	0.079092973	2.061096444	33.60860455	0.039637686
SRR15836529	PRJNA761539	Burned	394	394	5.402574666	0.90399221	0.027725342	2.061423036	42.15696909	0.069071801
SRR15836530	PRJNA761539	Burned	347	347	5.039143702	0.861491521	0.129014124	2.061400644	37.46443054	0.069199857
SRR15836531	PRJNA761539	Burned	631	631	5.836774024	0.905304347	0.041806337	2.061388885	52.69668342	0.050103064
SRR15836532	PRJNA761539	Burned	192	192	3.796489444	0.722109897	0.151177413	2.05705971	16.42398242	0.0255106
SRR15836533	PRJNA761539	Burned	338	338	4.792443846	0.823013236	0.072700941	2.060181684	29.60698158	0.043299296
SRR15836534	PRJNA761539	Burned	272	272	4.165032013	0.742985921	0.110708108	2.060468669	22.28974031	0.029364471
SRR15836535	PRJNA761539	Burned	536	536	5.490022896	0.87363235	0.065334588	2.061395188	50.87245897	0.054941469
SRR15836536	PRJNA761539	Burned	489	489	5.656550589	0.913472136	0.04361081	2.061400104	48.80953668	0.074688946
SRR15836537	PRJNA761539	Burned	610	610	5.335364283	0.831901213	0.081766037	2.061078232	54.57790727	0.038348974
SRR15836538	PRJNA761539	Burned	557	557	5.156107958	0.815508858	0.080173096	2.061043128	51.93257684	0.042607431
SRR15836539	PRJNA761539	Burned	554	554	5.088659146	0.805528967	0.116294729	2.061249109	50.14368011	0.039061605
SRR15836540	PRJNA761539	Burned	313	313	4.188104758	0.728847313	0.258532423	2.061298888	33.35816217	0.043750759
SRR15836541	PRJNA761539	Burned	263	263	4.770185148	0.856075607	0.08307283	2.061343368	30.46306468	0.055591439
SRR15836542	PRJNA761539	Burned	278	278	4.359891041	0.774730735	0.119956251	2.060007566	26.66619476	0.048069331
SRR15836543	PRJNA761539	Burned	416	416	5.159305248	0.855508956	0.070693832	2.061353262	39.07104546	0.064170265
SRR15836544	PRJNA761539	Burned	87	87	2.086487898	0.467203499	0.501520048	2.055074991	8.456246571	0.037834292
SRR15836545	PRJNA761539	Burned	175	175	4.147834637	0.803099036	0.127750177	2.061242138	23.49796388	0.072007528
SRR15836546	PRJNA761539	Burned	131	131	3.916704168	0.803393977	0.153035936	2.061017263	11.36382204	0.041562534
SRR15836547	PRJNA761539	Burned	196	196	4.613804225	0.874138688	0.084838963	2.061279071	20.61244062	0.06544366
SRR15836548	PRJNA761539	Burned	171	171	4.243257491	0.825269379	0.135565008	2.061329872	18.22753969	0.055262956
SRR15836549	PRJNA761539	Burned	148	148	4.577725378	0.916055818	0.061025943	2.061423036	21.00248938	0.129636556
SRR15836550	PRJNA761539	Burned	141	141	4.465978109	0.902443886	0.056748466	2.061423036	20.32272939	0.134027853
SRR15836551	PRJNA761539	Burned	226	226	4.483495335	0.827131517	0.094019304	2.061207443	24.69904839	0.062299081
SRR15836552	PRJNA761539	Burned	149	149	4.326919935	0.864701512	0.078293349	2.06136106	16.86784474	0.068023339
SRR15836553	PRJNA761539	Burned	232	232	5.017420062	0.921178996	0.055917327	2.061423036	28.06767325	0.100890154
SRR15836554	PRJNA761539	Burned	199	199	4.823929466	0.911326596	0.044010889	2.061423036	22.27717177	0.092148829
SRR15836555	PRJNA761539	Burned	437	437	5.258626591	0.864915193	0.065410372	2.061279406	42.17148422	0.06048797
SRR15836556	PRJNA761539	Burned	465	465	5.047060935	0.821724226	0.050567643	2.0606614	42.39623274	0.041237191
SRR15836557	PRJNA761539	Burned	224	224	3.891581525	0.719112353	0.164779479	2.060903369	21.64683125	0.045378105
SRR15836558	PRJNA761539	Burned	164	164	4.192828224	0.822144714	0.136882601	2.061321662	19.83563707	0.085272159
SRR15836559	PRJNA761539	Burned	173	173	4.258499155	0.826364873	0.097379563	2.061237898	20.66902158	0.0642354
SRR15836560	PRJNA761539	Burned	151	151	3.705936567	0.738634616	0.220553887	2.061059867	17.26923987	0.04651453
SRR15836561	PRJNA761539	Burned	383	383	5.247070972	0.882152002	0.047801041	2.061338485	37.34518443	0.065938331
SRR15836562	PRJNA761539	Burned	153	153	3.915418284	0.778345413	0.089314036	2.05989986	18.87330675	0.052217644
SRR15836563	PRJNA761539	Burned	51	51	2.512530274	0.63902383	0.36514831	2.009816852	3.631730428	0.035848821
SRR15836564	PRJNA761539	Burned	135	135	3.213762015	0.655164524	0.166045913	2.054321573	10.33265353	0.038047178
SRR15836565	PRJNA761539	Burned	90	90	2.99837507	0.666333754	0.253318526	2.052513503	6.748562737	0.029990737
SRR15836566	PRJNA761539	Burned	24	24	1.410658053	0.443874814	0.567547949	2.031704567	1.888022605	0.013230576
SRR15836567	PRJNA761539	Burned	170	170	4.040272053	0.786688205	0.152247019	2.060891687	19.51293555	0.048269583
SRR15836568	PRJNA761539	Burned	391	391	5.009721793	0.839331085	0.063908093	2.061208737	33.92789542	0.040407039
SRR15836569	PRJNA761539	Burned	213	213	4.300901284	0.802213562	0.083306529	2.056420756	20.73563308	0.036791984
SRR15836570	PRJNA761539	Burned	233	233	3.61594457	0.663349672	0.211993081	2.06064897	23.10352428	0.058237839
SRR15836571	PRJNA761539	Burned	119	119	3.905578572	0.8172165	0.140060439	2.061325644	13.21551774	0.046683786
SRR15836572	PRJNA761539	Burned	387	387	4.91374207	0.824671339	0.08066412	2.061223503	36.79647876	0.041607654
SRR15836573	PRJNA761539	Burned	217	217	4.263199785	0.792431436	0.091365218	2.059145624	19.0785027	0.041876202
SRR15836574	PRJNA761539	Burned	286	286	4.471898428	0.790647967	0.084593262	2.061052826	29.11422167	0.042123396
SRR15836575	PRJNA761539	Unburned	666	666	6.060469324	0.932194938	0.032277961	2.061419957	59.13476609	0.064697664
SRR15836576	PRJNA761539	Unburned	370	370	5.452318251	0.92201158	0.050293592	2.061413042	38.1014981	0.079026971
SRR15836577	PRJNA761539	Unburned	340	340	5.465669149	0.937677156	0.045029291	2.061411196	32.87906333	0.079377225
SRR15836578	PRJNA761539	Burned	33	33	1.989045634	0.56886639	0.549983171	2.060117615	4.940783316	0.211920051
SRR15836579	PRJNA761539	Unburned	917	917	6.263152706	0.918201734	0.043791415	2.06141985	73.59016032	0.055294153
SRR15836580	PRJNA761539	Unburned	1139	1139	6.482935358	0.921145493	0.025530317	2.061405228	95.22937891	0.049571732
SRR15836581	PRJNA761539	Burned	477	477	5.329661556	0.864150353	0.086228724	2.061192572	42.47626456	0.059229947
SRR15836582	PRJNA761539	Unburned	1020	1020	6.450464798	0.931131127	0.011826387	2.061421724	95.06779223	0.058709179
SRR15836583	PRJNA761539	Unburned	928	928	6.317945562	0.924618209	0.013756668	2.061416686	76.07383116	0.057142815
SRR15836584	PRJNA761539	Unburned	1216	1216	6.492332577	0.913985389	0.026311607	2.061410443	99.88300478	0.055527303
SRR15836585	PRJNA761539	Unburned	1270	1270	6.572275327	0.9196145	0.017003426	2.061408723	105.1100706	0.050365413
SRR15836586	PRJNA761539	Unburned	1078	1078	6.380246797	0.913700731	0.017372299	2.061365037	89.7931751	0.051751995
SRR15836587	PRJNA761539	Unburned	1066	1066	6.439698497	0.92369544	0.01720716	2.061403743	87.15267163	0.051563389
SRR15836588	PRJNA761539	Unburned	849	849	6.233231991	0.924255232	0.030606415	2.061419318	75.37552227	0.06516477
SRR15836589	PRJNA761539	Burned	789	789	6.030744102	0.904055668	0.040670985	2.061401238	62.8049368	0.043692754
SRR15836590	PRJNA761539	Burned	203	203	4.722980705	0.888913534	0.057162071	2.06138973	20.98110652	0.065463211
SRR15836591	PRJNA761539	Burned	660	660	5.699913885	0.877957998	0.061738877	2.061379968	55.71642385	0.048524774
SRR15836592	PRJNA761539	Burned	289	289	4.530204165	0.799481651	0.095901724	2.060593698	24.64956581	0.045573437
SRR15836594	PRJNA761539	Burned	968	968	6.312756908	0.91818819	0.040131671	2.061420177	81.98176612	0.057734266
SRR15836595	PRJNA761539	Burned	422	422	5.559994177	0.919766632	0.044680983	2.061415357	40.3855941	0.072941342
SRR15836596	PRJNA761539	Burned	570	570	5.501129338	0.866915314	0.048999808	2.060972219	49.35449432	0.0453951
SRR15836597	PRJNA761539	Burned	826	826	5.897455418	0.878042463	0.086028761	2.061401419	66.04425702	0.048900826
SRR15836598	PRJNA761539	Burned	974	974	6.269938981	0.911141437	0.052437983	2.061415935	79.23804789	0.054486068
SRR15836599	PRJNA761539	Burned	1049	1049	6.367990765	0.915520952	0.038853099	2.061416917	82.06819245	0.048326987
SRR15836600	PRJNA761539	Burned	684	684	5.617618226	0.860547555	0.040372871	2.060710496	49.53591923	0.041429732
SRR15836601	PRJNA761539	Burned	468	468	5.11601092	0.83207893	0.098897337	2.061159358	37.89637375	0.043675538
SRR15836602	PRJNA761539	Burned	573	573	5.763247864	0.907471512	0.053261419	2.061414857	52.12940005	0.067159272
SRR15836603	PRJNA761539	Burned	214	214	4.004620289	0.746298582	0.124494587	2.06069438	24.37609692	0.043571717
SRR15836604	PRJNA761539	Burned	517	517	5.4532304	0.87279017	0.037865705	2.061159047	39.43602795	0.039896847
SRR15836605	PRJNA761539	Burned	197	197	4.60138922	0.870946769	0.059181637	2.061280539	20.48461694	0.062289245
SRR15836606	PRJNA761539	Burned	682	682	5.833916243	0.894082717	0.052538487	2.061417268	59.61782497	0.057926423
SRR15836607	PRJNA761539	Burned	911	911	6.334034766	0.929487841	0.019770091	2.061421391	74.46270948	0.054878483
SRR15836608	PRJNA761539	Burned	473	473	5.559338878	0.90262263	0.031749201	2.061398522	42.12880127	0.05614211
SRR15836609	PRJNA761539	Burned	380	380	5.330220676	0.897317678	0.046971885	2.061260849	32.29986409	0.053798452
SRR15836610	PRJNA761539	Burned	303	303	5.191127669	0.908535251	0.040052651	2.061408121	26.28942378	0.05680449
SRR15836611	PRJNA761539	Unburned	760	760	6.212028043	0.936488743	0.035527726	2.061420672	63.8369019	0.059567355
SRR15836612	PRJNA761539	Unburned	532	532	5.850408355	0.932091868	0.043962485	2.061418207	49.86231493	0.066635265
