SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR22840036	PRJNA914530	Burned	115	115	3.375833763	0.711460917	0.158250366	2.060787372	50.40379708	0.194977907
SRR22840037	PRJNA914530	Burned	89	89	3.441353312	0.766681243	0.14244186	2.061072575	40.40853372	0.350123015
SRR22840038	PRJNA914530	Burned	119	119	3.416223858	0.71482226	0.156310806	2.06092939	52.63852672	0.26645138
SRR22840040	PRJNA914530	Unburned	137	137	3.811426532	0.774683193	0.093733983	2.061423036	52.45450389	0.344064866
SRR22840041	PRJNA914530	Unburned	111	111	3.3117136	0.703194047	0.181203307	2.060853935	57.07495586	0.526382963
SRR22840042	PRJNA914530	Unburned	204	204	4.042889735	0.760210326	0.109009719	2.061290215	80.13367969	0.357022872
SRR22840043	PRJNA914530	Unburned	192	192	4.217252407	0.802140964	0.073279419	2.06138579	62.24532888	0.193596015
SRR22840044	PRJNA914530	Unburned	203	203	3.852231916	0.725029658	0.133667527	2.060530566	86.86635702	0.226074329
SRR22840045	PRJNA914530	Unburned	188	188	4.201063233	0.802274381	0.076308203	2.061384182	63.64454996	0.264837545
SRR22840046	PRJNA914530	Unburned	202	202	4.083463978	0.769264892	0.107718442	2.061287554	80.63004551	0.287685591
SRR22840047	PRJNA914530	Unburned	171	171	3.989952972	0.776004289	0.14906175	2.061329872	67.289555	0.686824948
SRR22840048	PRJNA914530	Unburned	180	180	3.578130157	0.689035218	0.181249251	2.060992536	74.08081025	0.268051779
SRR22840049	PRJNA914530	Unburned	208	208	4.299510512	0.805523155	0.074255725	2.061295308	71.96040524	0.269234094
SRR22840051	PRJNA914530	Unburned	21	21	2.778660411	0.912675294	0.151384781	2.061423036	14.57532628	1.140289281
SRR22840052	PRJNA914530	Unburned	206	206	4.314030596	0.809709246	0.081314507	2.061292799	79.52875766	0.288344435
SRR22840053	PRJNA914530	Unburned	115	115	3.863575167	0.814252989	0.085918959	2.06100065	57.57744258	0.45467637
SRR22840054	PRJNA914530	Unburned	115	115	3.450518998	0.727200918	0.124137636	2.059692557	48.84404989	0.21117029
SRR22840055	PRJNA914530	Unburned	184	184	3.860422244	0.740262665	0.082599223	2.060377796	76.07978354	0.16833358
SRR22840056	PRJNA914530	Unburned	199	199	4.260431667	0.804871778	0.084091526	2.061388373	66.22183855	0.233850318
SRR22840057	PRJNA914530	Unburned	128	128	3.505590949	0.722499811	0.153741042	2.060734778	55.38254085	0.20922933
SRR22840058	PRJNA914530	Unburned	149	149	3.354395753	0.670350069	0.170776907	2.061110833	67.23411598	0.252495581
SRR22840059	PRJNA914530	Unburned	120	120	3.581696733	0.748136378	0.129569191	2.06043698	57.0653255	0.39954897
SRR22840060	PRJNA914530	Unburned	195	195	3.968637158	0.752633698	0.117099844	2.060832872	75.18570105	0.172930352
SRR23075661	PRJNA922564	Burned	85	85	4.208202744	0.947227793	0.056644518	2.061423036	16.12651865	0.150336373
SRR23075664	PRJNA922564	Burned	278	282	5.300100539	0.941801239	0.019309795	2.061423036	13.47601741	0.020332119
SRR23075667	PRJNA922564	Burned	317	318.5	5.516498142	0.957908011	0.013547954	2.061423036	20.72190807	0.04150413
SRR23075669	PRJNA922564	Burned	149	151	4.762413651	0.951731565	0.027435949	2.061423036	13.91418764	0.049356064
SRR23075671	PRJNA922564	Burned	54	54	3.80507064	0.953894675	0.053160318	2.061423036	7.56076073	0.041884097
SRR23075673	PRJNA922564	Burned	48	48	3.6436639	0.941223122	0.050671049	2.061423036	12.59018017	0.123312417
SRR23075675	PRJNA922564	Burned	151	151	4.8826877	0.973174281	0.018538499	2.061423036	11.71577675	0.062139406
SRR23075677	PRJNA922564	Burned	314	314	5.593654921	0.97291226	0.011285141	2.061423036	20.25335248	0.048633445
SRR23075679	PRJNA922564	Burned	509	509.6	6.0571182	0.971868226	0.007073339	2.061423036	25.96085305	0.01805951
SRR23075680	PRJNA922564	Burned	172	172	4.957967286	0.963180691	0.018508388	2.061423036	7.873595559	0.008902389
SRR23075682	PRJNA922564	Burned	78	78	4.077469192	0.93590583	0.051495449	2.061423036	12.09952805	0.109116142
SRR23075684	PRJNA922564	Burned	226	226	5.122662787	0.945047451	0.021934421	2.061423036	16.14299478	0.056432363
SRR23075686	PRJNA922564	Burned	130	130.3333333	4.425152848	0.909115876	0.035113603	2.061423036	10.77778819	0.043828594
SRR23075688	PRJNA922564	Burned	337	337	5.569078642	0.95687273	0.017215953	2.061423036	16.98126358	0.02453877
SRR23075691	PRJNA922564	Burned	314	314	5.509483156	0.958272146	0.015014577	2.061423036	19.79873457	0.037002392
SRR23075692	PRJNA922564	Burned	226	226	5.269778286	0.972187854	0.021491648	2.061423036	11.13812609	0.034826682
SRR23075694	PRJNA922564	Burned	258	258	5.42118602	0.97626967	0.010552953	2.061423036	17.53191084	0.024835878
SRR23075696	PRJNA922564	Burned	453	453	5.704346976	0.932708893	0.017754377	2.061423036	21.99281579	0.01609222
SRR23075698	PRJNA922564	Burned	366	366	5.723555402	0.969661349	0.011564779	2.061423036	22.98302059	0.032483918
SRR23075700	PRJNA922564	Burned	381	381	5.656175961	0.95176963	0.016679946	2.061423036	26.71613723	0.021947155
SRR23075703	PRJNA922564	Burned	278	278	5.384229745	0.956750576	0.017849926	2.061423036	17.53381366	0.071063471
SRR23075705	PRJNA922564	Burned	657	657.75	6.239312808	0.961716506	0.007867891	2.061423036	21.50611603	0.013184222
SRR23075707	PRJNA922564	Burned	506	506	6.041139592	0.970224687	0.007825543	2.061423036	29.57470077	0.039133066
SRR23075709	PRJNA922564	Burned	392	393.5	5.762156639	0.964981405	0.011269403	2.061423036	20.54240048	0.025459876
SRR23075711	PRJNA922564	Burned	503	506.1111111	6.019606756	0.96769062	0.007686786	2.061423036	24.92695441	0.023535927
